Ht,Wt,Forty,Vertical,BenchReps,BroadJump,Cone,Shuttle,Pos,Pos_encoded
73.0,240.0,4.73,36.02,23.0,120.84,7.23,4.22,LB_2309,3
73.0,220.0,4.81,31.93,19.0,106.83,7.12,4.27,QB_1405,5
76.0,217.0,4.99,31.64,23.0,103.73,6.96,4.47,QB_2398,5
73.0,211.0,4.59,33.26,14.0,118.52,6.97,4.17,WR_1059,9
73.0,245.0,4.76,31.01,27.0,117.37,7.03,4.36,LB_2665,3
78.0,306.0,5.25,27.16,28.0,101.66,7.89,4.56,OL_2512,4
69.0,203.0,4.54,32.91,19.0,120.75,7.0,4.21,RB_2149,6
78.0,317.0,5.27,30.58,24.0,102.82,7.85,4.79,OL_1791,4
75.0,247.0,4.86,35.98,20.0,115.18,6.98,4.25,TE_2312,8
74.0,275.0,5.11,33.86,28.0,115.11,7.65,4.37,DL_1044,1
78.0,250.0,4.72,34.73,23.0,109.64,6.98,4.4,TE_1785,8
74.0,221.0,4.71,30.61,18.0,116.5,7.05,4.37,QB_1247,5
72.0,202.0,4.5,32.53,19.0,114.46,7.16,4.37,RB_269,6
73.0,198.0,4.61,35.32,14.0,124.13,6.92,4.12,S_948,7
71.0,188.0,4.41,34.35,13.0,117.3,6.92,4.14,CB_2978,0
71.0,200.0,4.48,37.4,15.0,124.71,7.12,4.18,CB_2475,0
72.0,250.0,4.73,32.46,19.0,115.05,7.39,4.31,FB_1695,2
70.0,195.0,4.41,38.17,12.0,125.72,6.85,4.3,CB_2055,0
73.0,211.0,4.56,33.19,14.0,118.59,7.15,4.23,WR_2546,9
71.0,189.0,4.56,36.4,19.0,124.05,6.79,4.17,CB_2981,0
72.0,214.0,4.57,36.77,19.0,123.56,7.08,4.21,S_2637,7
70.0,209.0,4.49,34.25,20.0,116.17,7.15,4.28,RB_932,6
76.0,302.0,5.25,27.54,24.0,105.76,7.73,4.71,OL_2388,4
76.0,306.0,5.18,26.54,30.0,105.81,8.17,4.82,OL_2029,4
75.0,260.0,4.65,33.83,20.0,114.15,7.31,4.39,TE_483,8
75.0,218.0,4.75,32.34,22.0,107.23,7.09,4.24,QB_1573,5
72.0,216.0,4.58,36.2,13.0,121.74,6.98,4.34,S_108,7
71.0,225.0,4.61,33.86,16.0,116.59,7.09,4.32,RB_674,6
75.0,227.0,4.77,32.28,20.0,106.17,7.18,4.49,QB_389,5
71.0,213.0,4.45,34.04,17.0,113.92,7.08,4.15,RB_2938,6
71.0,249.0,4.69,31.8,20.0,112.31,7.5,4.32,FB_34,2
73.0,251.0,4.79,35.7,22.0,109.74,7.42,4.43,FB_2272,2
76.0,216.0,4.82,29.68,16.0,109.8,7.38,4.18,QB_881,5
77.0,303.0,5.23,29.53,29.0,95.01,7.62,4.89,OL_509,4
73.0,220.0,4.82,33.18,21.0,106.79,7.09,4.22,QB_458,5
75.0,284.0,4.9,34.71,23.0,107.41,7.66,4.34,DL_2072,1
72.0,247.0,4.87,34.9,23.0,115.53,7.45,4.48,FB_13,2
77.0,250.0,4.86,35.34,19.0,114.65,7.0,4.43,TE_1093,8
74.0,217.0,4.79,27.94,22.0,108.09,6.95,4.24,QB_1568,5
71.0,197.0,4.52,35.1,11.0,125.87,6.92,4.24,CB_977,0
69.0,220.0,4.54,32.81,21.0,115.67,7.17,4.11,RB_814,6
76.0,317.0,5.12,30.27,24.0,96.77,8.02,4.88,OL_1338,4
75.0,207.0,4.42,34.23,14.0,115.0,7.04,4.12,WR_484,9
75.0,287.0,5.05,34.41,26.0,106.72,7.56,4.47,DL_1593,1
72.0,221.0,4.6,34.79,18.0,118.36,6.89,4.31,RB_2122,6
71.0,191.0,4.48,36.8,13.0,126.3,6.86,4.24,CB_2906,0
76.0,323.0,5.26,30.41,29.0,103.29,8.16,4.85,OL_2224,4
74.0,241.0,4.65,32.97,20.0,113.03,7.04,4.2,LB_2869,3
72.0,238.0,4.83,34.41,18.0,118.91,7.07,4.34,LB_2343,3
76.0,307.0,5.21,29.28,27.0,104.72,7.95,4.93,OL_2833,4
76.0,300.0,5.29,26.45,23.0,105.38,8.13,4.77,OL_1933,4
72.0,214.0,4.59,37.04,20.0,118.03,6.8,4.18,S_1558,7
74.0,290.0,5.05,30.75,22.0,111.27,7.18,4.54,DL_2605,1
72.0,198.0,4.53,38.14,11.0,126.87,7.04,4.06,CB_984,0
71.0,217.0,4.6,36.82,23.0,114.02,6.93,4.21,RB_15,6
71.0,242.0,4.69,31.5,25.0,116.4,7.08,4.24,FB_332,2
70.0,189.0,4.45,35.12,15.0,126.72,7.05,4.23,CB_125,0
69.0,214.0,4.56,37.03,22.0,119.03,6.98,4.23,RB_753,6
72.0,234.0,4.85,31.59,25.0,113.28,7.55,4.31,FB_388,2
72.0,191.0,4.58,38.5,13.0,126.27,6.79,4.17,CB_336,0
77.0,253.0,4.9,32.49,22.0,110.5,7.23,4.36,TE_2545,8
76.0,259.0,4.68,34.29,21.0,119.38,7.01,4.29,TE_2357,8
73.0,244.0,4.69,31.99,25.0,111.49,7.09,4.17,LB_2677,3
72.0,239.0,4.63,32.25,25.0,115.12,7.18,4.52,FB_1739,2
73.0,254.0,4.72,33.89,27.0,110.92,7.37,4.53,FB_2996,2
75.0,265.0,4.85,30.33,29.0,113.24,7.76,4.45,DL_2748,1
